,title,description,date,link,text
0,Coronavirus: NHS staff need tests 'twice a week',Two leading doctors said regular testing is needed to give patients confidence as the NHS reopens.,"Wed, 17 Jun 2020 00:26:07 GMT",https://www.bbc.co.uk/news/health-53066177,"A leading surgeon has said NHS staff must be routinely tested for coronavirus up to twice a week. Prof Derek Alderson, president of the Royal College of Surgeons, said it was vital, to reassure patients staff were not unwittingly carrying the virus. But hospital trust bosses say they are still waiting for clarity on plans for regular testing. The Department for Health and Social Care (DHSC) said it was focusing on routine testing in care homes. Prof Alderson was speaking at a Health Select Committee meeting about the necessary steps to get all NHS services back up and running. He said: ""It's absolutely essential to regain public confidence that we are able to test our staff regularly."" It would be ""pragmatic"" for testing to take place ""about twice weekly"", he added, because it was known that the available tests were not perfect. As many as 30% of infections could be missed by a single swab test, research from the University of Bristol suggests - giving an infected person a negative result. So a negative result should not be treated as a guarantee, scientists say. ""It will always be essential to have multiple tests,"" Prof Nicola Stonehouse, a virologist at the University of Leeds, told the BBC. ""In addition to the challenges of accurate sampling, you can be fine one day and infected the next."" Experts are concerned about the possibility of asymptomatic spread, where staff don't know they are infected, but may still be capable to passing the virus on to others. The Department of Health and Social Care (DHSC) said it had capacity to carry out just over 200,000 diagnostic tests as of 15 June. But only 75,935 of these tests were actually carried out. ""There is adequate capacity, it just needs to be directed to those who need it most,"" Prof Alderson said. A staff testing pilot scheme was carried out across 11 hospital trusts more than a month ago, according to NHS Providers, which represents trust leaders. ""But we've had no results and no timeline,"" its deputy chief executive Saffron Cordery said. ""We have no idea when it will be rolled out."" As it stands, she said, there is no system in place to carry out weekly testing of health staff which she estimates will amount to more than 100,000 a day. ""It's a big issue if we want the NHS to get back on its feet,"" Ms Cordery said. The government said care home staff and residents could be tested even if they don't have symptoms at the end of April, but it has not committed to routinely testing NHS workers. A DHSC spokesperson said retesting would be ""guided by clinical advice on relative priority and available testing capacity"". Follow Rachel on Twitter"
1,Stars urge BBC to protect regional current affairs programmes,Broadcasters from Stephen Fry to Sir Lenny Henry sign a letter urging the BBC not to cut Inside Out.,"Wed, 17 Jun 2020 00:43:34 GMT",https://www.bbc.co.uk/news/entertainment-arts-53068900,"Dozens of broadcasters from Stephen Fry to Sir Lenny Henry have signed a letter asking the BBC not to cut its English regional current affairs programmes. The BBC has cancelled the autumn series of Inside Out and merged its weekly regional political programmes. The BBC is now ""seriously under-serving regional audiences"", the letter sent by the National Union of Journalists said. In response, the corporation said the coronavirus pandemic had ""forced us to prioritise our resources"". The letter is addressed to outgoing director general Lord Hall, who has said the BBC must find £125m savings this year, and his successor Tim Davie. The signatories also include presenter Fern Britton, actor Dominic West, naturalist Chris Packham, writer and actress Daisy May Cooper, poet Benjamin Zephaniah, director Ken Loach and broadcaster Gloria Hunniford. It says: ""Never has in-depth investigative journalism, holding people to account and reflecting the regional diversity of England been more important."" Inside Out is broadcast in 11 regions, covering a wide array of stories and issues affecting life in those areas. Meanwhile, the regional Sunday morning political programmes have been replaced during the pandemic by a single show. The letter continues: ""If these cuts were to become permanent they risk damaging English democracy by the failure to provide an important platform for those voices in our communities who need and want to be heard. ""Even when faced with financial pressures we urge the BBC to not reduce regional programming and to defend a vital element of public service broadcasting not available anywhere else."" A BBC spokesman said: ""Local and regional broadcasting is in the BBC's DNA and we're especially proud of how our services have performed during recent months. ""The pandemic has forced us to prioritise our resources so we've cancelled the autumn series of Inside Out and are continuing with the single political programme for England through to the summer. ""The BBC does face very real financial challenges so naturally we are looking at what savings might be possible across the BBC."" In January, Lord Hall unveiled a plan to have at least two thirds of the corporation's staff based outside London by 2027. Follow us on Facebook or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk"
2,'Invisible' unpaid carers going hungry in lockdown,"Unpaid carers looking after their parents and relatives are turning to food banks, say researchers.","Wed, 17 Jun 2020 00:38:47 GMT",https://www.bbc.co.uk/news/education-53070741,"Christie Michael is so worried about protecting her elderly mother that she has not gone outside her front door since the lockdown began in March. She says it is ""lonely and isolating"" - but the mother and daughter in Essex have also found themselves hungry. Research from Sheffield and Birmingham universities suggests more than 100,000 unpaid carers in the UK have had to rely on food banks during the pandemic. Helen Walker of Carers UK says unpaid carers are at ""breaking point"". The study looked at the experiences of people caring for parents and disabled relatives during the lockdown - and found 229,000 unpaid carers were in households where people had ""gone hungry"". Christie, now in her thirties, lives with her mother in Waltham Abbey and has been caring for her since childhood - watching over her mother as she suffered from seizures and other health problems. But during the lockdown they faced a different kind of problem: ""We were actually hungry."" Christie did not want to risk going to the shops while she was shielding her 76-year-old mother. And even if they could have got an online delivery, they didn't have enough money - so much so that they depended on deliveries brought by food banks. ""People don't understand the importance of food banks,"" she says, or how widely they are now being used. When they had emptied their cupboards, using up the baked beans and cereals, she said they were ""not eating"". ""I don't know what we would have done without the food bank."" When government food parcels did arrive, she didn't like to complain that much of it contained dairy products, when her mother was lactose intolerant. As a full-time carer she is entitled to a carer's allowance of about £67 per week - and the Carers UK charity is pushing for an increase. But even with other benefits on top, Christie says her current reality is ""spending every penny on food, rent and bills"". Every other cost that comes along, ""like something breaking down"", means borrowing and that creates another second wave of financial problems. What makes it tougher, says Christie, is the lack of recognition for such carers, protecting the people they love, but spending their waking hours looking after someone and being trapped without any money. During the lockdown, she says the sense of being invisible and forgotten has been even more intense. She has remained behind her door - and doesn't expect to be outside until the end of July, so as not to ""put mum in jeopardy"". In the past, she says there were some respite hours available to people caring for relatives - but that has gone. And she calls for a more consistent approach for support available for carers. The study from academics at Birmingham and Sheffield universities suggests that unpaid carers are twice as likely to have used food banks during the pandemic, compared to the general population. Professor Sue Yeandle of Sheffield University says this should ""shock the nation"". ""It cannot be right that carers are hidden from view, with declining mental wellbeing or face hunger or food poverty,"" she says. The chief executive of Carers UK, Helen Walker, says: ""Surely when the majority of carers are providing even more care for relatives during this pandemic, and spending more to do so, they deserve some help?"" A spokeswoman from the Department for Health and Social Care said: ""The government is hugely grateful for the crucial role that carers play, especially during this unprecedented period and we recently announced an extra £63m to support people struggling to afford food and other essentials due to coronavirus. ""The rate of carer's allowance was recently increased and we are working closely with carers organisations to further support carers during this outbreak, including funding to extend Carers UK's helpline opening times so unpaid carers are able to access trusted information and advice."""
3,New trials planned for cash-stricken communities,Organisers hope the projects will inform debate over the future of cash at a time when card use in rising.,"Tue, 16 Jun 2020 23:01:42 GMT",https://www.bbc.co.uk/news/business-53068282,"Eight locations across the UK, including an army barracks, have been chosen for trials to help solve problems with access to cash. Organisers hope they will inform debate over the future of cash in the UK, particularly for those who rely on it. The Community Access to Cash Pilot will test new subsidised ATMs and local cash deposit centres for retailers. It comes as a new forecast suggests cash use will fall faster in the UK than in much of Europe. The plan for trials was drawn up in light of a major report warning that the country is ""sleepwalking"" into becoming a cashless society. It concluded that eight million people in the UK rely on notes and coins, ranging from those without a bank account to people who are not comfortable with digital payments. That work was led by Natalie Ceeney, who is also in charge of the pilot projects. ""Over the past decade we've seen a massive shift from cash to digital payments, and Covid-19 has accelerated that trend further. But we know that digital payments don't yet work for everyone, and for many individuals and communities, cash remains essential,"" she said. ""But the world is changing - we can't just magic back our old bank branch and ATM infrastructure. Instead, we need to use innovation to develop new solutions as well as harness tried and tested approaches to meet people's needs."" Some of the places selected are remote communities, such as the village of Botton, North Yorkshire, and Lulworth Camp, a military barracks in Dorset miles away from the nearest cash machine. Small towns with thousands of residents which have seen bank branches or cash dispensers disappear are also included such, as Ampthill in Bedfordshire, along with Rochford, in Essex, Denny near Falkirk, and Cambuslang, in Lanarkshire. Burslem, in Staffordshire, is also on the list, as is Hay-on-Wye, which has a large number of bookshops and other small businesses with no bank branch to deposit notes and coins. Banks have been persuaded to pay for the pilots, trying out ideas like shared branches, more cashback in shops, as well as better bus services to allow people to visit surviving branches. Stephen Jones, chief executive of UK Finance, which represents the banks, said the sector was ""committed to ensuring that access to cash remains free and widely accessible to those who need it"". The coronavirus outbreak has accelerated the decline of cash use for many people. A recent survey by Link, which oversees the UK's cash machine network, suggested that 75% of people had used less cash during lockdown. One new forecast by consultants Accenture claimed that cash usage in the UK would drop by 40% this year, compared with 2019 - a faster drop than a 30% predicted fall in the major economies of Europe. Sulabh Agarwal, from Accenture, said: ""One of the key issues facing [retailers] will be how to take payment. While the decline of cash in the UK isn't new, there's little doubt that lockdown and social distancing measures have pushed consumers who typically rely on cash into digital payments."" Gareth Shaw, from consumer organisation Which?, said: ""With the existing cash system being pushed closer to the edge of collapse by the coronavirus outbreak, it is clear that new solutions are desperately needed to secure people's access and ability to pay with cash, which millions of people still rely on as their main form of payment."" The results of the pilots will be published in early 2021."
4,Coronavirus: Dexamethasone proves first life-saving drug,"Patients should be given the cheap drug without delay, after ""fantastic"" trial results, experts say.","Tue, 16 Jun 2020 16:44:39 GMT",https://www.bbc.co.uk/news/health-53061281,"A cheap and widely available drug can help save the lives of patients seriously ill with coronavirus. The low-dose steroid treatment dexamethasone is a major breakthrough in the fight against the deadly virus, UK experts say. The drug is part of the world's biggest trial testing existing treatments to see if they also work for coronavirus. It cut the risk of death by a third for patients on ventilators. For those on oxygen, it cut deaths by a fifth. Had the drug had been used to treat patients in the UK from the start of the pandemic, up to 5,000 lives could have been saved, researchers say. And it could be of huge benefit in poorer countries with high numbers of Covid-19 patients. The UK government has 200,000 courses of the drug in its stockpile and says the NHS will make dexamethasone available to patients. Prime Minister Boris Johnson said there was a genuine case to celebrate ""a remarkable British scientific achievement"", adding: ""We have taken steps to ensure we have enough supplies, even in the event of a second peak."" Chief Medical Officer for England Prof Chris Whitty said it would save lives around the world. About 19 out of 20 patients with coronavirus recover without being admitted to hospital. Of those who are admitted, most also recover but some may need oxygen or mechanical ventilation. And these are the high-risk patients dexamethasone appears to help. The drug is already used to reduce inflammation in a range of other conditions, including arthritis, asthma and some skin conditions. And it appears to help stop some of the damage that can happen when the body's immune system goes into overdrive as it tries to fight off coronavirus. This over-reaction, a cytokine storm, can be deadly. In the trial, led by a team from Oxford University, about 2,000 hospital patients were given dexamethasone and compared with more than 4,000 who were not. For patients on ventilators, it cut the risk of death from 40% to 28%. For patients needing oxygen, it cut the risk of death from 25% to 20%. Chief investigator Prof Peter Horby said: ""This is the only drug so far that has been shown to reduce mortality - and it reduces it significantly. It's a major breakthrough."" Lead researcher Prof Martin Landray said the findings suggested one life could be saved for: ""There is a clear, clear benefit,"" he said. ""The treatment is up to 10 days of dexamethasone and it costs about £5 per patient. ""So essentially it costs £35 to save a life. ""This is a drug that is globally available."" When appropriate, hospital patients should now be given it without delay, Prof Landray said. But people should not go out and buy it to take at home. Dexamethasone does not appear to help people with milder symptoms of coronavirus who do not need help with their breathing. The Recovery Trial, running since March, also looked at the malaria drug hydroxychloroquine, which has subsequently been ditched amid concerns it increases fatalities and heart problems. The antiviral drug remdesivir, meanwhile, which appears to shorten recovery time for people with coronavirus, is already being made available on the NHS. The first drug proven to cut deaths from Covid-19 is not some new, expensive medicine but an old, cheap-as-chips steroid. That is something to celebrate because it means patients across the world could benefit immediately. And that is why the top-line results of this trial have been rushed out - because the implications are so huge globally. Dexamethasone has been used since the early 1960s to treat a wide range of conditions, such as rheumatoid arthritis and asthma. Half of all Covid patients who require a ventilator do not survive, so cutting that risk by a third would have a huge impact. The drug is given intravenously in intensive care and in tablet form for less seriously ill patients. So far, the only other drug proven to benefit Covid patients is remdesivir, which has been used for Ebola. That has been shown to reduce the duration of coronavirus symptoms from 15 days to 11. But the evidence was not strong enough to show whether it reduced mortality. Unlike dexamethasone, remdesivir is a new drug with limited supplies and a price has yet to be announced. The BBC is not responsible for the content of external Internet sites"
5,Coronavirus: The new rules for the 'day out',"Theme parks, museums and leisure attractions are working out how they can re-open safely.","Wed, 17 Jun 2020 00:33:35 GMT",https://www.bbc.co.uk/news/entertainment-arts-53070380,"Theme parks, museums and leisure centres are working out how they could re-open safely, as lockdown restrictions ease in the UK. Even riding on a roller coaster is going to require a facemask and social distancing when attractions open up again. Blackpool's Pleasure Beach has decided that, on a ride on which people scream, visitors will be more comfortable if they are made to mask up. It is also going to be a less sociable experience - the seats on its Icon ride are only a metre apart so there will be empty rows to allow social distancing. After the opening of shops, Britain's leisure and cultural attractions are preparing for a government announcement that they too will be allowed to re-open. However, it will be months before many venues will be in a position to allow the public in again. A report from the Creative Industries Federation says 400,000 jobs are at risk and the cultural and creative economy is losing more than £1bn a week in revenue. It's this dire situation that is driving planning to ensure institutions will be able to re-open quickly once the government gives the green light. Museums will be some of the first spaces to re-open their doors but it will be a different experience. The Design Museum in London is removing its ticket desks and is moving to an online ticketing system to avoid the need for physical tickets and queues. There will also be a strict 90-minute time limit to reduce crowding and everyone will be directed along a one-way route. Toilets will be one in, one out. It will be a similar experience at hundreds of other venues. James Adebayo, a property consultant, has been advising on how to make socially distanced spaces. There are, he says, a series of measures that will become commonplace. Venues will increasingly have designated viewing points with limits on how long you can linger. And there will in many places be strict one-way systems to stop dawdling and bumping in to fellow visitors. Every one of them will do things slightly differently but here is a list of things you could well experience on a day out. Of course, this will only affect venues and attractions which can control the public.  Some, such as live music venues, which rely on crowds standing together face a much longer wait and a huge hole in their revenue. Follow us on Facebook or on Twitter @BBCNewsEnts. If you have a story suggestion email entertainment.news@bbc.co.uk"
6,Coronavirus: Prince Charles's sense of smell and taste still not back,The prince discusses his experience with Covid-19 as the royals return to public engagements.,"Tue, 16 Jun 2020 19:22:29 GMT",https://www.bbc.co.uk/news/uk-53026903,"Prince Charles has still not fully regained his sense of smell and taste after having coronavirus in March, he revealed on a visit to NHS staff. The prince discussed his personal experience with the virus as he met workers at the Gloucestershire Royal Hospital - at a 2m distance. He was accompanied by his wife, the Duchess of Cornwall, who said the staff had showed ""Britain at its best"". It was the couple's first face-to-face public engagement since lockdown began. They met frontline staff and key workers from several NHS trusts, including consultants, nurses and cleaners, at the hospital near Prince Charles's Highgrove estate. Social distancing rules were observed, with those waiting to meet them standing on yellow dots to ensure they were 2m apart. Prince Charles greeted some of those he met with a ""namaste"" - clasping his hands together - instead of a handshake. Jeff Mills, 47, a healthcare assistant from Cheltenham General Hospital, said: ""He did speak of his personal experience, so first-hand experience for him. ""He also spoke about his loss of smell and taste and, sort of, still felt he's still got it now."" By Nicholas Witchell, royal correspondent They're never the most natural of meetings. Even at the best of times, royal visits can be a touch artificial. It's all that protocol: what do you call them; must one bow/curtsey; what does one talk about? And now it's become ever so slightly more complicated thanks to the requirements of social distancing. When Charles and Camilla turned up at the Gloucestershire Royal Hospital they were greeted by staff who looked as though they were taking part in a military parade… they were formed up in impeccably well-presented ranks, each person 2m from each other. Everyone understood and the royal guests joked about taking a salute or telling everyone to ""fall out"". But the important thing was that it didn't interfere with the essential message of the occasion. Prince William too had resumed face to face royal visits, meeting first responders at an ambulance station in Norfolk. Conversations may not be at their most relaxed when the speakers are standing apart but no amount of protocol or ""distancing"" can dilute the underlying message of gratitude to all those who've been in the coronavirus front line. The 71-year-old prince was diagnosed with Covid-19 near the start of the outbreak, after suffering mild symptoms. A loss of smell is thought to be one of the key symptoms. He later said he had ""got away with it quite lightly"". Asked if the country's appreciation of the NHS had changed for good, the duchess said: ""I think it has, you can tell by all the people coming out every week to clap - they've done the most remarkable things. ""The way they've looked after people, the way they've sort of kept control of the whole thing... it's a question of not panicking and getting on with it and I think they are Britain at its best."" She also revealed the couple had their first socially-distanced reunion with their grandchildren last weekend, saying it had been a ""great treat"", even though they were not able to hug them. With lockdown restrictions being eased, the Royal Family have chosen to take a step towards a return to normality - with a series of face-to-face public engagements. The Duke of Cambridge visited Kings Lynn Ambulance Station in Norfolk - the first time he had met members of the public in person since coronavirus restrictions were imposed. Prince William joked about how he was looking forward to having a pint in the pub, as he praised staff for ""all your hard work"". He said: ""Everyone appreciates the NHS, we have an amazing system, it's a great health service and many countries around the world envy what we have. ""It's not until you have a big crisis, a pandemic, and everyone realises we have to really make sure we value and we show our appreciation."" He also joked: ""I'm worried about the waistline of the nation as well, with all the chocolate and cakes. I've done a lot of baking at home."" The prince recently revealed he had been volunteering for crisis helpline Shout 85258 during the lockdown."
7,India-China clash: 20 Indian troops killed in Ladakh fighting,It is the first deadly skirmish in decades between the two regional powers at their disputed border.,"Tue, 16 Jun 2020 20:20:53 GMT",https://www.bbc.co.uk/news/world-asia-53061476,"At least 20 Indian soldiers were killed in a clash with Chinese forces in a disputed Himalayan border area, Indian officials say. The incident follows rising tensions, and is the first deadly clash in the border area in at least 45 years. The Indian army initially said three of its soldiers had been killed, adding that both sides suffered casualties. But later on Tuesday, officials said a number of critically injured soldiers had died of their wounds. India's external affairs ministry accused China of breaking an agreement struck the previous week to respect the Line of Actual Control (LAC) in the Galwan Valley. BBC diplomatic correspondent James Robbins says violence between two armies high up in the Himalayas is very serious, and pressure will grow on the two nuclear powers not to allow a slide into full-scale conflict. Early on Tuesday the Indian army said three of its soldiers, including an officer, had died in a clash in Ladakh, in the disputed Kashmir region. Later in the day, it released a statement saying the two sides had disengaged. It added that ""17 Indian troops who were critically injured in the line of duty"" and died from their injuries, taking the ""total that were killed in action to 20"". China did not confirm any casualties, but accused India in turn of crossing the border onto the Chinese side. Chinese foreign ministry spokesman Zhao Lijian said India had crossed the border twice on Monday, ""provoking and attacking Chinese personnel, resulting in serious physical confrontation between border forces on the two sides"", AFP news agency reported. Both sides insist no bullet has been fired in four decades, and the Indian army said on Tuesday that ""no shots were fired"" in this latest skirmish. How a clash that did not involve an exchange of fire could prove so lethal is unclear. There are reports that it was fought with rocks and clubs Local media outlets reported that the Indian soldiers had been ""beaten to death"". The LAC is poorly demarcated. The presence of rivers, lakes and snowcaps means the line can shift. The soldiers either side - representing two of the world's largest armies - come face to face at many points. But there have been tense confrontations along the border in recent weeks. India has accused China of sending thousands of troops into Ladakh's Galwan valley and says China occupies 38,000sq km (14,700sq miles) of its territory. Several rounds of talks in the last three decades have failed to resolve the boundary disputes. The two countries have fought only one war so far, in 1962, when India suffered a humiliating defeat. In May, dozens of Indian and Chinese soldiers exchanged physical blows on the border in the north-eastern state of Sikkim. And in 2017, the two countries clashed in the region after China tried to extend a border road through a disputed plateau. There are several reasons why tensions are rising now - but competing strategic goals lie at the root, and both sides blame each other. India has built a new road in what experts say is the most remote and vulnerable area along the LAC in Ladakh. And India's decision to ramp up infrastructure seems to have infuriated Beijing. The road could boost Delhi's capability to move men and materiel rapidly in case of a conflict. India also disputes part of Kashmir - an ethnically diverse Himalayan region covering about 140,000sq km - with Pakistan. The two nuclear armed neighbours have a chequered history of face-offs and overlapping territorial claims along the more than 3,440km (2,100 mile), poorly drawn Line of Actual Control separating the two sides. Border patrols have often bumped into each other, resulting in occasional scuffles. But no bullets have been fired in four decades. That is why Sunday's night's clash following months of roiling tension has taken many by surprise. Whatever the result, the latest incident is likely to trigger a fresh wave of anti-China sentiments in India. It will also present daunting foreign policy and security challenges to Indian Prime Minister Narendra Modi and his government, which is struggling to contain a surge of Covid-19 infections and revive an economy which looks headed for recession."
8,Flushing 'can propel viral infection 3ft into air',"Flushing the toilet with the lid up creates a cloud of spray that may spread infection, study finds.","Tue, 16 Jun 2020 15:05:03 GMT",https://www.bbc.co.uk/news/health-53047819,"Flushing the toilet with the lid up creates a cloud of spray that can be breathed in and may spread infection, such as coronavirus, say researchers. Chinese scientists calculate that flushing can propel a plume of spray up and out of the toilet bowl, reaching head height and beyond. Droplets can travel up to 3ft - or 91cm - from ground level, according to the computer model used by the scientists from Yangzhou University. Shutting the lid would avoid this. The work is published in the journal Physics of Fluids. Coronavirus is spread through airborne droplets from coughs and sneezes, or objects that are contaminated with them. People who are infected can also have traces of the virus in their faeces, although it is not yet clear whether this might be another way to pass the disease on to others. Scientists around the world are testing sewage and wastewater to determine how some people might have become infected with coronavirus. Other viruses can be spread by poor toilet hygiene, known as faecal-oral transmission. As water pours into the toilet bowl during a flush, it strikes the side, creating turbulence and droplets. The droplets are so small they typically float in the air for more than a minute, according to study author Ji-Xiang Wang and colleagues from Yangzhou University, China. Dr Bryan Bzdek, from the Bristol Aerosol Research Centre at the University of Bristol, said although there was no clear evidence that coronavirus might spread in this way, it made sense to take precautions. ""The study authors suggest that, whenever possible, we should keep the toilet seat down when we flush, clean the toilet seat and any other contact areas frequently, and wash our hands after using the toilet. ""While this study is unable to demonstrate that these measures will reduce transmission of the SARS-CoV-2 virus, many other viruses are transmitted though the faecal-oral route, so these are good hygiene practices to have anyway."""
9,Tornadoes caught on camera across two counties in Wales,Eyewitnesses filmed a twister near Brecon and then another 40 miles away in Ceredigion.,"Tue, 16 Jun 2020 19:45:59 GMT",https://www.bbc.co.uk/news/uk-wales-53069614,"Tornadoes have been spotted across two counties - as parts of Wales were hit by thunderstorms. Eyewitnesses glimpsed the first just five miles north of Brecon in Powys on late Tuesday afternoon. Then 40 miles away at Bont Goch, east of Talybont in Ceredigion, another twister was caught on camera. Rebecca Charnock said she stopped her car to grab a quick shot, before the swirling clouds ""fizzled away"". ""I did start to wonder what it was - and then thought 'crikey - I need a picture',"" said Ms Charnock. ""It was coming towards me, and I thought 'I wonder where it is going to go? ""But then it just fizzled out and it was gone."" The Brecon sightings were captured by Della Morgan and her husband. ""I said quick, quick, come outside,"" said Mrs Morgan ""We watched it descend, it moved around and then dissipated."" The tornado can be clearly seen making its way across the ridge above farmland. The weather events were captured following a day of warnings for thunderstorms across much of Wales. Further alerts have also been issued for Wednesday between 12:00 and 21:00 BST for more storms. The yellow warning from the Met Office covers all but far western tips of Wales, with a small risk of flooding and lighting strikes."
