,description,positive,neutral,negative,overall
0,Demonstrations sparked by the death of George Floyd take place in towns and cities across the UK.,0.0,0.804,0.196,-0.5994
1,Rallies across the United States against the death in custody of George Floyd go into a 12th day.,0.129,0.691,0.18,-0.2732
2,"Hospital bosses in England felt ""in the dark"" over changes to policies on face masks and visitors.",0.0,1.0,0.0,0.0
3,Coronavirus disrupted Harry Billinge's D-Day plans. But he got to meet a face from his past instead.,0.0,1.0,0.0,0.0
4,There are concerns coronavirus might be starting to spread in parts of England again.,0.0,1.0,0.0,0.0
5,"The former Commons speaker tells the BBC he ""made a lot of enemies"" but denies bullying allegations.",0.0,0.538,0.462,-0.9032
6,Protesters march in support of George Floyd and indigenous Australians despite coronavirus warnings.,0.278,0.607,0.115,0.3995
7,The National Football League previously banned its players from dropping to one knee before games.,0.0,0.824,0.176,-0.4588
8,The BBC's Ed Thomas visits one street in north-west England that's reeling from three Covid-19 deaths.,0.0,1.0,0.0,0.0
9,A rally by extremists and football fans over the government's response ended in clashes with police.,0.0,1.0,0.0,0.0
10,Scientists are gathering data on how new diseases emerge in the hope of identifying future pandemics.,0.162,0.838,0.0,0.4404
11,"Kameko inflicts a first defeat on Pinatubo to win the 2,000 Guineas, the first British Classic of the season.",0.167,0.702,0.132,0.2023
12,The second in line to the throne has been secretly answering text messages from people needing help.,0.144,0.856,0.0,0.4019
13,A games designer creates a face mask that shows animated mouth shapes as you speak.,0.149,0.851,0.0,0.2732
14,"Four years after Colin Kaepernick first kneeled during the US national anthem, the NFL says it was ""wrong"" for not allowing players to protest.",0.0,0.92,0.08,-0.25
15,The musicians have practising together after moving into a country house before lockdown.,0.0,1.0,0.0,0.0
16,"People of all ages are demonstrating, including kids who say ""you can't judge a book by its colour"".",0.0,1.0,0.0,0.0
17,Ten of the Chelsea Pensioners have died in the coronavirus pandemic but their comrades soldier on.,0.0,0.867,0.133,-0.3182
18,"The people can't go to the animals, but some companies are finding ways to bring them into homes.",0.0,1.0,0.0,0.0
19,"As the rest of the world reels from the pandemic, China is pushing ahead with the pursuit of its national interest.",0.13,0.87,0.0,0.4588
20,The ex-Microsoft head is currently the target of all kinds of outlandish theories and false claims.,0.0,1.0,0.0,0.0
21,"The UK's coronavirus death toll has passed more than 40,000, according to the latest figures.",0.0,0.782,0.218,-0.5994
22,"TV presenter Kate Garraway's partner has been in a coma for nearly 10 weeks, after catching Covid-19.",0.0,1.0,0.0,0.0
23,When 11-year-old Carl returned to primary school this week almost everything had changed.,0.0,1.0,0.0,0.0
24,"Fed up with eco-oblivious influencers, some people have started naming and shaming.",0.0,1.0,0.0,0.0
